"X4_colonias_id","X1_Sent2.B01","X1_Sent2.B02","X1_Sent2.B03","X1_Sent2.B04","X2_Srtm.DEM","X3_TreeCover","X4_alcaldias_id","latitud","longitud","temperatura","direcc_vient","humedad"
560,724.258680555556,779.133680555556,968.949652777778,1088.11458333333,2417.96636623806,12.609375,14,19.3040440446801,-99.2196050087611,17.9972222222222,43.8611111111111,34
561,598.964788732394,681.253521126761,877.93661971831,1056.30281690141,2294.1523575044,0.26056338028169,14,19.2703189581213,-99.1492177399112,18.7638888888889,84.0555555555556,36
562,624.654320987654,725.432098765432,944.246913580247,1179.14814814815,2235.35653573495,0,9,19.3648348207827,-99.0301478821554,19.0694444444444,149.055555555556,35
563,783.962962962963,924.802469135802,1133.85185185185,1328.0987654321,2254.49530406057,0,7,19.5033930790277,-99.0976386364595,19.0666666666667,126.916666666667,40
564,877.709302325581,1036.88372093023,1267.45348837209,1476.86046511628,2264.1797130496,0.418604651162791,7,19.5061730673147,-99.1040342464003,19.0666666666667,121.75,40
565,440.47461928934,566.296954314721,772.832487309645,958.51269035533,2343.3798332408,10.5609137055838,7,19.4986007128875,-99.1043288526196,19.0666666666667,121.75,40
566,540.521739130435,689.115942028986,879.391304347826,1062.3768115942,2233.04735266644,0.0579710144927536,8,19.3931535085042,-99.1017710367839,19.5055555555556,92.8611111111111,36
567,833.4,882.2,1033.4,1078.2,2416.51645507813,1.6,1,19.3712707519531,-99.2243118286133,18.1861111111111,70.9166666666667,29
568,1041.94736842105,1113.63157894737,1352.36842105263,1545.10526315789,2238.33638723273,0,9,19.360482165688,-99.0795143528989,19.2277777777778,147.194444444444,37
569,617.300884955752,731.87610619469,945.946902654867,1050.35398230089,2469.61613531872,16.5663716814159,1,19.3683429144125,-99.2397242183179,18.1861111111111,67.1944444444444,41
570,821.0625,994.25,1187.5625,1318,2457.09326171875,2.5625,1,19.3665347099304,-99.2349562644958,18.1861111111111,67.1944444444444,41
571,837.702127659574,978.255319148936,1163.59574468085,1307.82978723404,2465.29347261469,0.0425531914893617,1,19.3654286404873,-99.2372215757979,18.1861111111111,67.1944444444444,41
572,404.176470588235,475.882352941176,696.117647058824,890.470588235294,2237.2766974954,0,9,19.3589771495146,-99.0750974767348,19.2277777777778,150.638888888889,37
573,895.754098360656,1038.40983606557,1251.37704918033,1432.49180327869,2324.0772244813,0,7,19.5552859697186,-99.1282383652984,18.8111111111111,101.861111111111,35
574,791.256578947368,912.842105263158,1100.58552631579,1271.38157894737,2245.44764468544,0.0723684210526316,3,19.3606925889065,-99.1588802337646,18.8861111111111,53.3055555555556,34
575,674.472727272727,804.509090909091,1007.32727272727,1219.76363636364,2233.70840731534,0,7,19.46941205805,-99.1041029496626,19.1833333333333,118.944444444444,40
576,684.309523809524,813.31746031746,1023.2619047619,1226.57936507937,2232.25865924169,0,7,19.4662378856114,-99.0994205777607,19.1833333333333,123.944444444444,40
577,687.225,818.191666666667,1017.06666666667,1219.51666666667,2232.71526285807,0,7,19.4611344019572,-99.1013781865438,19.2194444444444,123.944444444444,40
